SEED :  1
INIT_TIME :  0
FIN_TIME :  20000
ARRIVE_MIN :  10
ARRIVE_MAX :  20
QUIT_PROB :  20
CPU_MIN :  10
CPU_MAX :  20
DISK1_MIN :  30
DISK1_MAX :  50
DISK2_MIN :  30
DISK2_MAX :  50
4686  Job 169  finishes at Disk 2
4686  Job 98   finishes at CPU
4686  Job 98   finishes
4692  Job 324  arrives
4703  Job 11   finishes at CPU
4708  Job 325  arrives
4718  Job 188  finishes at CPU
4718  Job 326  arrives
4721  Job 4    finishes at Disk 1
4733  Job 90   finishes at Disk 2
4735  Job 189  finishes at CPU
4735  Job 327  arrives
4749  Job 328  arrives
4752  Job 171  finishes at Disk 1
4752  Job 49   finishes at CPU
4762  Job 329  arrives
4763  Job 172  finishes at Disk 2
4769  Job 190  finishes at CPU
4769  Job 190  finishes
4777  Job 330  arrives
4779  Job 99   finishes at CPU
4791  Job 191  finishes at CPU
4791  Job 191  finishes
4796  Job 91   finishes at Disk 1
4796  Job 331  arrives
4800  Job 173  finishes at Disk 2
4804  Job 192  finishes at CPU
4809  Job 332  arrives
4820  Job 333  arrives
4823  Job 52   finishes at CPU
4828  Job 174  finishes at Disk 1
4831  Job 334  arrives
4841  Job 45   finishes at Disk 2
4842  Job 193  finishes at CPU
4843  Job 335  arrives
4857  Job 336  arrives
4859  Job 100  finishes at CPU
4859  Job 100  finishes
4866  Job 175  finishes at Disk 1
4868  Job 337  arrives
4873  Job 194  finishes at CPU
4881  Job 338  arrives
4886  Job 92   finishes at Disk 2
4888  Job 195  finishes at CPU
4896  Job 339  arrives
4899  Job 176  finishes at Disk 1
4905  Job 51   finishes at CPU
4911  Job 340  arrives
4917  Job 101  finishes at CPU
4922  Job 93   finishes at Disk 2
4926  Job 341  arrives
4932  Job 46   finishes at Disk 1
4932  Job 196  finishes at CPU
4932  Job 196  finishes
4942  Job 197  finishes at CPU
4943  Job 342  arrives
4956  Job 343  arrives
4957  Job 198  finishes at CPU
4958  Job 177  finishes at Disk 2
4967  Job 344  arrives
4968  Job 53   finishes at CPU
4972  Job 94   finishes at Disk 1
4978  Job 199  finishes at CPU
4984  Job 345  arrives
4988  Job 104  finishes at CPU
4995  Job 346  arrives
5000  Job 200  finishes at CPU
5003  Job 181  finishes at Disk 2
5010  Job 347  arrives
5010  Job 201  finishes at CPU
5010  Job 201  finishes
5013  Job 182  finishes at Disk 1
5026  Job 348  arrives
5028  Job 105  finishes at CPU
5038  Job 106  finishes at CPU
5041  Job 349  arrives
5052  Job 96   finishes at Disk 2
5052  Job 350  arrives
5057  Job 202  finishes at CPU
5060  Job 184  finishes at Disk 1
5070  Job 203  finishes at CPU
5071  Job 351  arrives
5084  Job 204  finishes at CPU
5086  Job 97   finishes at Disk 2
5086  Job 352  arrives
5099  Job 23   finishes at Disk 1
5099  Job 353  arrives
5100  Job 56   finishes at CPU
5116  Job 354  arrives
5119  Job 108  finishes at CPU
5121  Job 185  finishes at Disk 2
5130  Job 186  finishes at Disk 1
5133  Job 355  arrives
5136  Job 205  finishes at CPU
5147  Job 356  arrives
5152  Job 206  finishes at CPU
5162  Job 11   finishes at Disk 1
5162  Job 357  arrives
5166  Job 187  finishes at Disk 2
5166  Job 110  finishes at CPU
5173  Job 358  arrives
5177  Job 207  finishes at CPU
5183  Job 359  arrives
5194  Job 109  finishes at CPU
5201  Job 360  arrives
5204  Job 188  finishes at Disk 2
5209  Job 189  finishes at Disk 1
5212  Job 208  finishes at CPU
5220  Job 361  arrives
5229  Job 111  finishes at CPU
5239  Job 362  arrives
5241  Job 192  finishes at Disk 1
5246  Job 209  finishes at CPU
5248  Job 49   finishes at Disk 2
5257  Job 363  arrives
5262  Job 210  finishes at CPU
5272  Job 364  arrives
5280  Job 58   finishes at CPU
5282  Job 99   finishes at Disk 2
5289  Job 52   finishes at Disk 1
5290  Job 365  arrives
5290  Job 211  finishes at CPU
5300  Job 57   finishes at CPU
5306  Job 366  arrives
5319  Job 212  finishes at CPU
5321  Job 193  finishes at Disk 2
5323  Job 194  finishes at Disk 1
5324  Job 367  arrives
5331  Job 112  finishes at CPU
5338  Job 368  arrives
5345  Job 213  finishes at CPU
5345  Job 213  finishes
5349  Job 369  arrives
5359  Job 370  arrives
5363  Job 214  finishes at CPU
5365  Job 195  finishes at Disk 2
5371  Job 51   finishes at Disk 1
5372  Job 371  arrives
5378  Job 114  finishes at CPU
5378  Job 114  finishes
5391  Job 372  arrives
5394  Job 60   finishes at CPU
5396  Job 197  finishes at Disk 2
5408  Job 373  arrives
5412  Job 101  finishes at Disk 1
5413  Job 215  finishes at CPU
5427  Job 374  arrives
5432  Job 216  finishes at CPU
5432  Job 216  finishes
5441  Job 375  arrives
5443  Job 198  finishes at Disk 2
5445  Job 115  finishes at CPU
5445  Job 115  finishes
5457  Job 53   finishes at Disk 1
5457  Job 376  arrives
5461  Job 116  finishes at CPU
5471  Job 217  finishes at CPU
5472  Job 377  arrives
5485  Job 199  finishes at Disk 2
5487  Job 378  arrives
5488  Job 218  finishes at CPU
5488  Job 218  finishes
5501  Job 219  finishes at CPU
5501  Job 219  finishes
5504  Job 379  arrives
5505  Job 104  finishes at Disk 1
5515  Job 61   finishes at CPU
5515  Job 61   finishes
5517  Job 200  finishes at Disk 2
5522  Job 380  arrives
5529  Job 220  finishes at CPU
5535  Job 381  arrives
5536  Job 105  finishes at Disk 1
5548  Job 31   finishes at CPU
5550  Job 382  arrives
5558  Job 221  finishes at CPU
5565  Job 202  finishes at Disk 2
5566  Job 383  arrives
5572  Job 222  finishes at CPU
5582  Job 106  finishes at Disk 1
5583  Job 118  finishes at CPU
5584  Job 384  arrives
5599  Job 63   finishes at CPU
5602  Job 385  arrives
5611  Job 204  finishes at Disk 2
5618  Job 223  finishes at CPU
5620  Job 386  arrives
5631  Job 203  finishes at Disk 1
5633  Job 387  arrives
5634  Job 224  finishes at CPU
5634  Job 224  finishes
5645  Job 388  arrives
5646  Job 119  finishes at CPU
5657  Job 56   finishes at Disk 2
5662  Job 389  arrives
5662  Job 225  finishes at CPU
5675  Job 108  finishes at Disk 1
5676  Job 390  arrives
5676  Job 120  finishes at CPU
5688  Job 391  arrives
5695  Job 226  finishes at CPU
5700  Job 392  arrives
5706  Job 205  finishes at Disk 2
5708  Job 227  finishes at CPU
5715  Job 206  finishes at Disk 1
5715  Job 393  arrives
5725  Job 32   finishes at CPU
5725  Job 394  arrives
5735  Job 228  finishes at CPU
5737  Job 395  arrives
5751  Job 396  arrives
5754  Job 110  finishes at Disk 1
5754  Job 64   finishes at CPU
5755  Job 207  finishes at Disk 2
5765  Job 397  arrives
5766  Job 229  finishes at CPU
5782  Job 398  arrives
5785  Job 230  finishes at CPU
5788  Job 109  finishes at Disk 1
5795  Job 122  finishes at CPU
5797  Job 208  finishes at Disk 2
5800  Job 399  arrives
5806  Job 123  finishes at CPU
5806  Job 123  finishes
5818  Job 400  arrives
5824  Job 231  finishes at CPU
5829  Job 111  finishes at Disk 2
5832  Job 401  arrives
5837  Job 209  finishes at Disk 1
5837  Job 232  finishes at CPU
5837  Job 232  finishes
5847  Job 233  finishes at CPU
5849  Job 402  arrives
5863  Job 66   finishes at CPU
5865  Job 403  arrives
5869  Job 210  finishes at Disk 2
5873  Job 58   finishes at Disk 1
5880  Job 65   finishes at CPU
5880  Job 65   finishes
5883  Job 404  arrives
5893  Job 234  finishes at CPU
5900  Job 405  arrives
5905  Job 57   finishes at Disk 2
5910  Job 235  finishes at CPU
5916  Job 406  arrives
5922  Job 211  finishes at Disk 1
5922  Job 236  finishes at CPU
5928  Job 407  arrives
5940  Job 125  finishes at CPU
5944  Job 408  arrives
5952  Job 212  finishes at Disk 1
5954  Job 112  finishes at Disk 2
5956  Job 409  arrives
5957  Job 124  finishes at CPU
5971  Job 237  finishes at CPU
5974  Job 410  arrives
5985  Job 238  finishes at CPU
5986  Job 411  arrives
6000  Job 60   finishes at Disk 1
6000  Job 15   finishes at CPU
6000  Job 412  arrives
6000  Job 15   finishes
6002  Job 214  finishes at Disk 2
6014  Job 413  arrives
6016  Job 239  finishes at CPU
6029  Job 126  finishes at CPU
6029  Job 126  finishes
6031  Job 414  arrives
6035  Job 215  finishes at Disk 2
6045  Job 116  finishes at Disk 1
6047  Job 240  finishes at CPU
6047  Job 415  arrives
6047  Job 240  finishes
6058  Job 416  arrives
6064  Job 241  finishes at CPU
6071  Job 417  arrives
6080  Job 128  finishes at CPU
6081  Job 418  arrives
6082  Job 220  finishes at Disk 2
6091  Job 242  finishes at CPU
6094  Job 217  finishes at Disk 1
6099  Job 419  arrives
6107  Job 68   finishes at CPU
6115  Job 420  arrives
6118  Job 221  finishes at Disk 2
6123  Job 243  finishes at CPU
6123  Job 243  finishes
6125  Job 421  arrives
6138  Job 422  arrives
6139  Job 244  finishes at CPU
6139  Job 244  finishes
6143  Job 31   finishes at Disk 1
6149  Job 129  finishes at CPU
6149  Job 129  finishes
6152  Job 423  arrives
6162  Job 245  finishes at CPU
6165  Job 222  finishes at Disk 2
6169  Job 424  arrives
6176  Job 118  finishes at Disk 1
6181  Job 69   finishes at CPU
6181  Job 425  arrives
6181  Job 69   finishes
6193  Job 246  finishes at CPU
6193  Job 426  arrives
6204  Job 247  finishes at CPU
6209  Job 427  arrives
6210  Job 119  finishes at Disk 1
6213  Job 63   finishes at Disk 2
6214  Job 130  finishes at CPU
6223  Job 428  arrives
6226  Job 248  finishes at CPU
6235  Job 429  arrives
6242  Job 2    finishes at CPU
6246  Job 430  arrives
6249  Job 120  finishes at Disk 1
6254  Job 223  finishes at Disk 2
6254  Job 249  finishes at CPU
6254  Job 249  finishes
6259  Job 431  arrives
6265  Job 250  finishes at CPU
6265  Job 250  finishes
6277  Job 432  arrives
6279  Job 131  finishes at CPU
6291  Job 251  finishes at CPU
6292  Job 225  finishes at Disk 2
6294  Job 433  arrives
6296  Job 226  finishes at Disk 1
6305  Job 252  finishes at CPU
6305  Job 252  finishes
6308  Job 434  arrives
6322  Job 132  finishes at CPU
6322  Job 435  arrives
6332  Job 253  finishes at CPU
6332  Job 436  arrives
6332  Job 253  finishes
6340  Job 227  finishes at Disk 2
6343  Job 32   finishes at Disk 1
6344  Job 437  arrives
6345  Job 254  finishes at CPU
6356  Job 438  arrives
6363  Job 70   finishes at CPU
6367  Job 439  arrives
6382  Job 64   finishes at Disk 1
6382  Job 255  finishes at CPU
6382  Job 255  finishes
6386  Job 228  finishes at Disk 2
6386  Job 440  arrives
6399  Job 133  finishes at CPU
6402  Job 441  arrives
6418  Job 230  finishes at Disk 1
6418  Job 256  finishes at CPU
6421  Job 442  arrives
6430  Job 229  finishes at Disk 2
6436  Job 34   finishes at CPU
6436  Job 443  arrives
6448  Job 257  finishes at CPU
6449  Job 444  arrives
6458  Job 134  finishes at CPU
6465  Job 122  finishes at Disk 1
6466  Job 445  arrives
6471  Job 258  finishes at CPU
6479  Job 231  finishes at Disk 2
6480  Job 446  arrives
6489  Job 259  finishes at CPU
6497  Job 447  arrives
6507  Job 233  finishes at Disk 1
6508  Job 135  finishes at CPU
6510  Job 448  arrives
6516  Job 66   finishes at Disk 2
6518  Job 260  finishes at CPU
6527  Job 449  arrives
6530  Job 71   finishes at CPU
6541  Job 261  finishes at CPU
6545  Job 450  arrives
6552  Job 235  finishes at Disk 2
6554  Job 234  finishes at Disk 1
6555  Job 451  arrives
6560  Job 262  finishes at CPU
6560  Job 262  finishes
6571  Job 452  arrives
6578  Job 263  finishes at CPU
6585  Job 453  arrives
6587  Job 236  finishes at Disk 1
6595  Job 454  arrives
6596  Job 72   finishes at CPU
6601  Job 125  finishes at Disk 2
6610  Job 455  arrives
6614  Job 136  finishes at CPU
6614  Job 136  finishes
6622  Job 456  arrives
6625  Job 264  finishes at CPU
6630  Job 237  finishes at Disk 1
6637  Job 139  finishes at CPU
6640  Job 457  arrives
6646  Job 124  finishes at Disk 2
6655  Job 265  finishes at CPU
6658  Job 458  arrives
6665  Job 138  finishes at CPU
6670  Job 459  arrives
6671  Job 238  finishes at Disk 1
6677  Job 266  finishes at CPU
6680  Job 460  arrives
6690  Job 267  finishes at CPU
6692  Job 461  arrives
6693  Job 239  finishes at Disk 2
6703  Job 462  arrives
6704  Job 36   finishes at CPU
6713  Job 128  finishes at Disk 1
6717  Job 463  arrives
6719  Job 268  finishes at CPU
6719  Job 268  finishes
6723  Job 241  finishes at Disk 2
6734  Job 464  arrives
6734  Job 269  finishes at CPU
6744  Job 74   finishes at CPU
6751  Job 465  arrives
6757  Job 68   finishes at Disk 1
6761  Job 466  arrives
6762  Job 270  finishes at CPU
6768  Job 242  finishes at Disk 2
6772  Job 467  arrives
6777  Job 142  finishes at CPU
6785  Job 468  arrives
6792  Job 246  finishes at Disk 1
6793  Job 271  finishes at CPU
6797  Job 469  arrives
6805  Job 272  finishes at CPU
6815  Job 470  arrives
6816  Job 141  finishes at CPU
6817  Job 245  finishes at Disk 2
6827  Job 75   finishes at CPU
6830  Job 471  arrives
6832  Job 130  finishes at Disk 1
6841  Job 273  finishes at CPU
6841  Job 273  finishes
6848  Job 247  finishes at Disk 2
6848  Job 472  arrives
6858  Job 473  arrives
6860  Job 274  finishes at CPU
6868  Job 474  arrives
6870  Job 275  finishes at CPU
6878  Job 248  finishes at Disk 1
6883  Job 143  finishes at CPU
6885  Job 2    finishes at Disk 2
6886  Job 475  arrives
6897  Job 144  finishes at CPU
6899  Job 476  arrives
6909  Job 477  arrives
6913  Job 276  finishes at CPU
6924  Job 251  finishes at Disk 2
6925  Job 478  arrives
6927  Job 131  finishes at Disk 1
6932  Job 277  finishes at CPU
6932  Job 277  finishes
6940  Job 479  arrives
6949  Job 147  finishes at CPU
6958  Job 480  arrives
6959  Job 145  finishes at CPU
6959  Job 145  finishes
6964  Job 132  finishes at Disk 1
6972  Job 254  finishes at Disk 2
6973  Job 481  arrives
6974  Job 278  finishes at CPU
6974  Job 278  finishes
6987  Job 279  finishes at CPU
6992  Job 482  arrives
6996  Job 70   finishes at Disk 1
7006  Job 146  finishes at CPU
7011  Job 483  arrives
7019  Job 133  finishes at Disk 2
7021  Job 280  finishes at CPU
7023  Job 484  arrives
7033  Job 256  finishes at Disk 1
7039  Job 485  arrives
7040  Job 38   finishes at CPU
7040  Job 38   finishes
7055  Job 486  arrives
7058  Job 281  finishes at CPU
7059  Job 34   finishes at Disk 2
7070  Job 76   finishes at CPU
7072  Job 487  arrives
7082  Job 134  finishes at Disk 1
7083  Job 488  arrives
7088  Job 282  finishes at CPU
7094  Job 489  arrives
7098  Job 257  finishes at Disk 2
7098  Job 37   finishes at CPU
7105  Job 490  arrives
7108  Job 283  finishes at CPU
7119  Job 148  finishes at CPU
7120  Job 491  arrives
7128  Job 258  finishes at Disk 1
7131  Job 259  finishes at Disk 2
7132  Job 284  finishes at CPU
7134  Job 492  arrives
7145  Job 493  arrives
7146  Job 285  finishes at CPU
7158  Job 494  arrives
7159  Job 150  finishes at CPU
7171  Job 495  arrives
7173  Job 135  finishes at Disk 1
7173  Job 260  finishes at Disk 2
7176  Job 149  finishes at CPU
7176  Job 149  finishes
7187  Job 496  arrives
7188  Job 286  finishes at CPU
7188  Job 286  finishes
7202  Job 287  finishes at CPU
7204  Job 497  arrives
7211  Job 261  finishes at Disk 1
7214  Job 288  finishes at CPU
7216  Job 71   finishes at Disk 2
7223  Job 498  arrives
7232  Job 151  finishes at CPU
7235  Job 499  arrives
7244  Job 72   finishes at Disk 1
7249  Job 289  finishes at CPU
7252  Job 500  arrives
7255  Job 263  finishes at Disk 2
7265  Job 152  finishes at CPU
7270  Job 501  arrives
7279  Job 139  finishes at Disk 1
7281  Job 502  arrives
7284  Job 290  finishes at CPU
7284  Job 290  finishes
7290  Job 264  finishes at Disk 2
7300  Job 503  arrives
7303  Job 291  finishes at CPU
7313  Job 79   finishes at CPU
7316  Job 504  arrives
7319  Job 265  finishes at Disk 1
7326  Job 292  finishes at CPU
7327  Job 505  arrives
7332  Job 138  finishes at Disk 2
7344  Job 153  finishes at CPU
7344  Job 506  arrives
7344  Job 153  finishes
7357  Job 293  finishes at CPU
7359  Job 507  arrives
7366  Job 266  finishes at Disk 1
7367  Job 36   finishes at Disk 2
7372  Job 294  finishes at CPU
7378  Job 508  arrives
7383  Job 154  finishes at CPU
7395  Job 509  arrives
7395  Job 1    finishes at CPU
7398  Job 269  finishes at Disk 2
7409  Job 267  finishes at Disk 1
7410  Job 510  arrives
7414  Job 295  finishes at CPU
7423  Job 511  arrives
7428  Job 74   finishes at Disk 2
7433  Job 296  finishes at CPU
7439  Job 512  arrives
7440  Job 270  finishes at Disk 1
7448  Job 297  finishes at CPU
7453  Job 513  arrives
7459  Job 81   finishes at CPU
7469  Job 298  finishes at CPU
7472  Job 272  finishes at Disk 2
7472  Job 514  arrives
7475  Job 142  finishes at Disk 1
7486  Job 155  finishes at CPU
7486  Job 155  finishes
7490  Job 515  arrives
7505  Job 299  finishes at CPU
7505  Job 516  arrives
7508  Job 141  finishes at Disk 2
7521  Job 300  finishes at CPU
7521  Job 300  finishes
7522  Job 517  arrives
7524  Job 271  finishes at Disk 1
7537  Job 84   finishes at CPU
7537  Job 84   finishes
7540  Job 518  arrives
7549  Job 75   finishes at Disk 2
7553  Job 83   finishes at CPU
7553  Job 83   finishes
7559  Job 519  arrives
7562  Job 274  finishes at Disk 1
7572  Job 301  finishes at CPU
7575  Job 520  arrives
7587  Job 143  finishes at Disk 2
7588  Job 302  finishes at CPU
7588  Job 521  arrives
7600  Job 159  finishes at CPU
7601  Job 522  arrives
7609  Job 275  finishes at Disk 1
7612  Job 523  arrives
7616  Job 158  finishes at CPU
7616  Job 158  finishes
7622  Job 276  finishes at Disk 2
7628  Job 303  finishes at CPU
7631  Job 524  arrives
7638  Job 304  finishes at CPU
7646  Job 525  arrives
7648  Job 160  finishes at CPU
7649  Job 144  finishes at Disk 1
7656  Job 147  finishes at Disk 2
7658  Job 526  arrives
7661  Job 305  finishes at CPU
7661  Job 305  finishes
7673  Job 40   finishes at CPU
7676  Job 527  arrives
7684  Job 306  finishes at CPU
7686  Job 279  finishes at Disk 1
7693  Job 528  arrives
7700  Job 307  finishes at CPU
7704  Job 280  finishes at Disk 2
7711  Job 529  arrives
7719  Job 162  finishes at CPU
7725  Job 530  arrives
7734  Job 146  finishes at Disk 1
7736  Job 161  finishes at CPU
7743  Job 531  arrives
7750  Job 308  finishes at CPU
7750  Job 308  finishes
7752  Job 76   finishes at Disk 2
7760  Job 532  arrives
7769  Job 309  finishes at CPU
7769  Job 309  finishes
7772  Job 281  finishes at Disk 1
7772  Job 533  arrives
7779  Job 310  finishes at CPU
7783  Job 534  arrives
7789  Job 164  finishes at CPU
7789  Job 164  finishes
7796  Job 37   finishes at Disk 2
7802  Job 535  arrives
7806  Job 86   finishes at CPU
7810  Job 282  finishes at Disk 1
7817  Job 311  finishes at CPU
7819  Job 536  arrives
7833  Job 312  finishes at CPU
7833  Job 537  arrives
7837  Job 148  finishes at Disk 2
7841  Job 283  finishes at Disk 1
7852  Job 313  finishes at CPU
7852  Job 538  arrives
7865  Job 87   finishes at CPU
7865  Job 539  arrives
7872  Job 285  finishes at Disk 1
7876  Job 284  finishes at Disk 2
7876  Job 163  finishes at CPU
7881  Job 540  arrives
7893  Job 314  finishes at CPU
7894  Job 541  arrives
7905  Job 315  finishes at CPU
7908  Job 542  arrives
7913  Job 287  finishes at Disk 1
7917  Job 150  finishes at Disk 2
7921  Job 165  finishes at CPU
7925  Job 543  arrives
7939  Job 316  finishes at CPU
7942  Job 544  arrives
7953  Job 43   finishes at CPU
7955  Job 288  finishes at Disk 1
7959  Job 545  arrives
7963  Job 317  finishes at CPU
7966  Job 151  finishes at Disk 2
7975  Job 546  arrives
7978  Job 318  finishes at CPU
7985  Job 547  arrives
7988  Job 166  finishes at CPU
7995  Job 548  arrives
8000  Job 44   finishes at CPU
8000  Job 44   finishes
8001  Job 289  finishes at Disk 1
8009  Job 549  arrives
8012  Job 319  finishes at CPU
8013  Job 152  finishes at Disk 2
8019  Job 550  arrives
8026  Job 320  finishes at CPU
8031  Job 551  arrives
8032  Job 291  finishes at Disk 1
8041  Job 168  finishes at CPU
8042  Job 552  arrives
8049  Job 79   finishes at Disk 2
8053  Job 321  finishes at CPU
8056  Job 553  arrives
8062  Job 292  finishes at Disk 1
8066  Job 554  arrives
8070  Job 88   finishes at CPU
8082  Job 322  finishes at CPU
8084  Job 555  arrives
8088  Job 293  finishes at Disk 2
8096  Job 556  arrives
8098  Job 323  finishes at CPU
8106  Job 154  finishes at Disk 1
8109  Job 557  arrives
8110  Job 170  finishes at CPU
8110  Job 170  finishes
8120  Job 558  arrives
8126  Job 169  finishes at CPU
8129  Job 294  finishes at Disk 2
8133  Job 559  arrives
8139  Job 324  finishes at CPU
8146  Job 560  arrives
8150  Job 1    finishes at Disk 1
8154  Job 325  finishes at CPU
8162  Job 561  arrives
8166  Job 326  finishes at CPU
8171  Job 295  finishes at Disk 2
8176  Job 562  arrives
8181  Job 4    finishes at CPU
8192  Job 297  finishes at Disk 1
8194  Job 563  arrives
8194  Job 90   finishes at CPU
8203  Job 296  finishes at Disk 2
8209  Job 327  finishes at CPU
8213  Job 564  arrives
8224  Job 328  finishes at CPU
8225  Job 81   finishes at Disk 1
8229  Job 565  arrives
8243  Job 171  finishes at CPU
8243  Job 566  arrives
8245  Job 298  finishes at Disk 2
8253  Job 567  arrives
8254  Job 329  finishes at CPU
8258  Job 299  finishes at Disk 1
8268  Job 568  arrives
8270  Job 172  finishes at CPU
8280  Job 569  arrives
8283  Job 330  finishes at CPU
8292  Job 301  finishes at Disk 2
8299  Job 570  arrives
8301  Job 91   finishes at CPU
8306  Job 159  finishes at Disk 1
8311  Job 331  finishes at CPU
8318  Job 571  arrives
8321  Job 173  finishes at CPU
8324  Job 302  finishes at Disk 2
8335  Job 572  arrives
8338  Job 332  finishes at CPU
8349  Job 304  finishes at Disk 1
8354  Job 573  arrives
8357  Job 303  finishes at Disk 2
8357  Job 333  finishes at CPU
8370  Job 174  finishes at CPU
8371  Job 574  arrives
8385  Job 334  finishes at CPU
8386  Job 575  arrives
8390  Job 40   finishes at Disk 1
8402  Job 576  arrives
8404  Job 45   finishes at CPU
8405  Job 160  finishes at Disk 2
8417  Job 577  arrives
8420  Job 335  finishes at CPU
8420  Job 335  finishes
8421  Job 307  finishes at Disk 1
8433  Job 578  arrives
8435  Job 336  finishes at CPU
8446  Job 306  finishes at Disk 2
8446  Job 579  arrives
8453  Job 175  finishes at CPU
8462  Job 580  arrives
8468  Job 161  finishes at Disk 1
8470  Job 337  finishes at CPU
8479  Job 581  arrives
8483  Job 162  finishes at Disk 2
8488  Job 338  finishes at CPU
8498  Job 582  arrives
8501  Job 86   finishes at Disk 1
8502  Job 92   finishes at CPU
8510  Job 583  arrives
8516  Job 339  finishes at CPU
8516  Job 339  finishes
8519  Job 310  finishes at Disk 2
8524  Job 584  arrives
8532  Job 176  finishes at CPU
8538  Job 312  finishes at Disk 1
8538  Job 585  arrives
8548  Job 586  arrives
8549  Job 340  finishes at CPU
8550  Job 311  finishes at Disk 2
8564  Job 587  arrives
8564  Job 93   finishes at CPU
8575  Job 87   finishes at Disk 1
8575  Job 341  finishes at CPU
8575  Job 341  finishes
8577  Job 588  arrives
8586  Job 313  finishes at Disk 2
8591  Job 46   finishes at CPU
8594  Job 589  arrives
8602  Job 342  finishes at CPU
8605  Job 590  arrives
8613  Job 343  finishes at CPU
8617  Job 163  finishes at Disk 1
8617  Job 591  arrives
8619  Job 314  finishes at Disk 2
8623  Job 177  finishes at CPU
8635  Job 592  arrives
8635  Job 344  finishes at CPU
8646  Job 94   finishes at CPU
8648  Job 593  arrives
8652  Job 315  finishes at Disk 1
8660  Job 165  finishes at Disk 2
8663  Job 345  finishes at CPU
8665  Job 594  arrives
8675  Job 595  arrives
8682  Job 346  finishes at CPU
8686  Job 596  arrives
8690  Job 316  finishes at Disk 1
8701  Job 181  finishes at CPU
8703  Job 43   finishes at Disk 2
8705  Job 597  arrives
8719  Job 598  arrives
8720  Job 317  finishes at Disk 1
8720  Job 347  finishes at CPU
8732  Job 599  arrives
8735  Job 182  finishes at CPU
8735  Job 182  finishes
8739  Job 318  finishes at Disk 2
8743  Job 600  arrives
8746  Job 348  finishes at CPU
8746  Job 348  finishes
8750  Job 319  finishes at Disk 1
8760  Job 601  arrives
8765  Job 349  finishes at CPU
8765  Job 349  finishes
8776  Job 96   finishes at CPU
8779  Job 602  arrives
8781  Job 166  finishes at Disk 2
8784  Job 320  finishes at Disk 1
8786  Job 350  finishes at CPU
8794  Job 603  arrives
8798  Job 184  finishes at CPU
8808  Job 604  arrives
8813  Job 351  finishes at CPU
8814  Job 321  finishes at Disk 1
8817  Job 168  finishes at Disk 2
8824  Job 605  arrives
8827  Job 97   finishes at CPU
8827  Job 97   finishes
8837  Job 606  arrives
8838  Job 352  finishes at CPU
8838  Job 352  finishes
8847  Job 88   finishes at Disk 1
8849  Job 23   finishes at CPU
8850  Job 607  arrives
8853  Job 322  finishes at Disk 2
8864  Job 353  finishes at CPU
8865  Job 608  arrives
8878  Job 609  arrives
8880  Job 354  finishes at CPU
8889  Job 610  arrives
8891  Job 169  finishes at Disk 1
8893  Job 323  finishes at Disk 2
8895  Job 185  finishes at CPU
8905  Job 611  arrives
8913  Job 186  finishes at CPU
8917  Job 612  arrives
8927  Job 613  arrives
8929  Job 355  finishes at CPU
8933  Job 325  finishes at Disk 1
8935  Job 324  finishes at Disk 2
8944  Job 356  finishes at CPU
8946  Job 614  arrives
8960  Job 11   finishes at CPU
8960  Job 615  arrives
8971  Job 326  finishes at Disk 1
8976  Job 357  finishes at CPU
8979  Job 616  arrives
8983  Job 4    finishes at Disk 2
8986  Job 187  finishes at CPU
8986  Job 187  finishes
8995  Job 617  arrives
9002  Job 358  finishes at CPU
9012  Job 328  finishes at Disk 1
9012  Job 618  arrives
9014  Job 359  finishes at CPU
9022  Job 619  arrives
9029  Job 360  finishes at CPU
9029  Job 360  finishes
9030  Job 90   finishes at Disk 2
9033  Job 620  arrives
9039  Job 188  finishes at CPU
9046  Job 621  arrives
9054  Job 171  finishes at Disk 1
9056  Job 189  finishes at CPU
9060  Job 327  finishes at Disk 2
9060  Job 622  arrives
9071  Job 623  arrives
9073  Job 361  finishes at CPU
9073  Job 361  finishes
9083  Job 362  finishes at CPU
9087  Job 172  finishes at Disk 1
9089  Job 624  arrives
9099  Job 192  finishes at CPU
9099  Job 192  finishes
9102  Job 625  arrives
9106  Job 329  finishes at Disk 2
9112  Job 626  arrives
9114  Job 49   finishes at CPU
9121  Job 331  finishes at Disk 1
9126  Job 627  arrives
9127  Job 363  finishes at CPU
9127  Job 363  finishes
9137  Job 628  arrives
9146  Job 364  finishes at CPU
9154  Job 330  finishes at Disk 2
9154  Job 629  arrives
9162  Job 99   finishes at CPU
9170  Job 173  finishes at Disk 1
9172  Job 630  arrives
9179  Job 52   finishes at CPU
9189  Job 631  arrives
9196  Job 365  finishes at CPU
9202  Job 91   finishes at Disk 2
9203  Job 333  finishes at Disk 1
9203  Job 632  arrives
9210  Job 366  finishes at CPU
9210  Job 366  finishes
9214  Job 633  arrives
9222  Job 193  finishes at CPU
9232  Job 634  arrives
9237  Job 194  finishes at CPU
9242  Job 332  finishes at Disk 2
9244  Job 45   finishes at Disk 1
9248  Job 367  finishes at CPU
9250  Job 635  arrives
9260  Job 368  finishes at CPU
9265  Job 636  arrives
9270  Job 369  finishes at CPU
9280  Job 336  finishes at Disk 1
9281  Job 174  finishes at Disk 2
9284  Job 637  arrives
9286  Job 370  finishes at CPU
9296  Job 638  arrives
9305  Job 195  finishes at CPU
9305  Job 195  finishes
9306  Job 639  arrives
9315  Job 51   finishes at CPU
